chr	windowStart	windowEnd	D	f_d	f_dM
chr2L	11479	20047	0.011005	0.007658	0.004254
chr2L	20116	29094	0.147426	0.174326	0.103663
chr2L	29147	37341	0.090816	0.103335	0.049628
chr2L	37835	43102	0.010099	0.009242	0.004996
chr2L	43105	47287	-0.259421	-0.248740	-0.090071
chr2L	52875	57256	0.152571	0.251267	0.126268
chr2L	57542	63402	-0.381699	-0.398551	-0.120129
chr2L	63513	67877	-0.074777	-0.059891	-0.030149
chr2L	68117	74485	0.521873	0.502425	0.404093
chr2L	75388	81696	-0.455145	-0.406051	-0.211056
chr2L	81752	84988	0.172380	0.141233	0.115958
chr2L	85332	87821	0.159394	0.149644	0.080901
chr2L	87863	90823	-0.669845	-1.740293	-0.481727
chr2L	90870	95123	-0.246256	-0.211036	-0.146121
chr2L	95341	102513	0.043802	0.015357	0.012127
chr2L	103281	107951	-0.226884	-0.249079	-0.126823
chr2L	108547	112636	-0.110620	-0.123357	-0.063887
chr2L	113801	116504	-0.102713	-0.052541	-0.033805
chr2L	116591	120842	-0.378850	-0.270860	-0.124624
chr2L	121372	128199	-0.184618	-0.087564	-0.047291
chr2L	128245	132590	-0.267484	-0.159317	-0.116901
chr2L	132800	136165	-0.532089	-0.729761	-0.279730
chr2L	136169	140056	0.187733	0.076312	0.041595
chr2L	140078	144188	-0.069082	-0.066332	-0.052223
chr2L	145389	150796	0.186386	0.036924	0.019274
chr2L	150798	155811	-0.324269	-0.195787	-0.138721
chr2L	155818	160380	0.239117	0.107022	0.081887
chr2L	160449	165675	-0.036334	-0.016396	-0.011283
chr2L	165689	170020	0.437074	0.268288	0.146685
chr2L	170176	174684	0.223375	0.166403	0.134785
chr2L	175034	180987	-0.082463	-0.050435	-0.021025
chr2L	181028	186484	-0.518943	-0.402089	-0.196726
chr2L	187808	195887	0.739939	0.462084	0.375162
chr2L	196838	202987	0.355134	0.187268	0.143485
chr2L	202988	209846	0.579463	0.257213	0.220318
chr2L	210726	217179	0.300425	0.309070	0.137854
chr2L	219091	220946	-0.236080	-0.273441	-0.087094
chr2L	221192	225894	0.388835	0.276642	0.171499
chr2L	226406	229840	0.168825	0.150752	0.111548
chr2L	229849	232506	0.274196	0.323666	0.194577
chr2L	233557	239378	-0.422017	-0.089538	-0.076012
chr2L	239697	243679	0.111985	0.020541	0.019151
chr2L	243708	246083	0.313889	0.048828	0.042955
chr2L	246173	249900	0.573016	0.129583	0.120560
chr2L	250121	254456	0.284877	0.250435	0.212707
chr2L	254921	257233	0.155258	0.044971	0.036960
chr2L	257384	258823	-0.000386	-0.000193	-0.000160
chr2L	258892	260590	0.253265	0.413265	0.226944
chr2L	260632	263485	-0.008814	-0.011458	-0.008202
chr2L	263587	267602	0.105468	0.202480	0.114157
chr2L	267621	270786	0.343598	0.391479	0.281818
chr2L	270882	275632	0.038109	0.053673	0.025106
chr2L	275741	279674	-0.295448	-0.391008	-0.230063
chr2L	279761	284285	-0.428113	-1.629083	-0.432703
chr2L	284303	286053	0.195076	0.294376	0.200551
chr2L	286152	290619	0.122861	0.130115	0.081652
chr2L	290766	293255	0.171666	0.108425	0.079894
chr2L	293279	297577	-0.501807	-0.744351	-0.327951
chr2L	297627	301009	-0.076272	-0.038115	-0.028098
chr2L	301141	304942	-0.537785	-0.698538	-0.337203
chr2L	304958	307945	-0.666715	-3.310760	-0.458858
chr2L	308051	310727	0.490807	0.270417	0.251092
chr2L	310892	313387	0.360568	0.276266	0.179653
chr2L	313403	314756	0.148960	0.088837	0.078888
chr2L	314869	316222	-0.573561	-1.088325	-0.466169
chr2L	316271	318650	0.012471	0.014946	0.008840
chr2L	318700	320991	0.775106	0.639771	0.534409
chr2L	321084	323195	0.016066	0.007549	0.006079
chr2L	323313	324874	-0.480130	-0.700129	-0.332317
chr2L	324944	326756	-0.021227	-0.023479	-0.017436
chr2L	326817	329209	-0.055718	-0.416058	-0.023569
chr2L	329342	330538	0.302792	0.546910	0.218255
chr2L	330657	332219	0.359765	0.312907	0.175736
chr2L	332223	333412	0.424486	0.378419	0.339888
chr2L	333572	334986	0.045365	0.029340	0.024939
chr2L	335048	337583	-0.126816	-0.093672	-0.064322
chr2L	338679	341645	0.118003	0.027314	0.022946
chr2L	341678	345207	-0.248957	-0.028774	-0.023658
chr2L	345229	347495	-0.111851	-0.015869	-0.014168
chr2L	347496	357268	-0.373509	-0.281024	-0.199717
chr2L	357324	359512	-0.099345	-0.037837	-0.020076
chr2L	359532	362965	0.175880	0.084410	0.066935
chr2L	362981	367087	0.015862	0.017189	0.011197
chr2L	367090	369798	0.007010	0.003605	0.002807
chr2L	370112	373892	0.397703	0.173339	0.144121
chr2L	373949	375898	-0.161210	-0.417587	-0.110888
chr2L	375966	377800	-0.058685	-0.055157	-0.037114
chr2L	377955	380058	0.054277	0.039990	0.027685
chr2L	380063	382641	0.579894	0.583532	0.500126
chr2L	382781	384394	0.308764	0.167038	0.139000
chr2L	384479	387066	-0.495510	-0.593850	-0.314719
chr2L	387298	389197	0.208781	0.200389	0.143648
chr2L	389330	390444	0.555413	0.328108	0.295200
chr2L	390526	392659	0.169673	0.152958	0.127233
chr2L	392714	395650	-0.326077	-0.296794	-0.176477
chr2L	395657	397103	0.094746	0.097684	0.075803
chr2L	397179	398834	-0.127426	-0.156137	-0.116776
chr2L	398988	400092	-0.424841	-0.290164	-0.210530
chr2L	400221	402422	-0.139356	-0.136029	-0.094520
chr2L	402435	403635	-0.412383	-0.537293	-0.295533
chr2L	403664	404943	0.710123	0.305217	0.259691
chr2L	405378	408389	0.434255	0.217225	0.151883
chr2L	408404	410751	0.516523	0.715307	0.393656
chr2L	410973	413638	0.529832	0.462584	0.357751
chr2L	413813	417732	0.680840	0.638107	0.184565
chr2L	417894	420569	0.353383	0.411011	0.229163
chr2L	420655	422846	0.153805	0.221370	0.101283
chr2L	422848	424487	-0.465786	-0.596143	-0.291216
chr2L	424520	426698	0.077997	0.075314	0.066738
chr2L	426734	430658	-0.045938	-0.033380	-0.023129
chr2L	430672	434949	0.271181	0.184969	0.157958
chr2L	434980	436456	0.146977	0.196897	0.126166
chr2L	436497	437487	0.386818	0.410490	0.336423
chr2L	437495	439495	-0.280367	-0.204656	-0.136233
chr2L	439568	442101	-0.197164	-0.141613	-0.099175
chr2L	442166	445184	0.236583	0.166191	0.114458
chr2L	445199	450919	0.433080	0.375984	0.241805
chr2L	451184	454413	0.926192	0.796303	0.653219
chr2L	455072	457661	0.211620	0.088167	0.076139
chr2L	457704	459765	-0.190050	-0.144604	-0.103808
chr2L	460138	463563	-0.082985	-0.072499	-0.055011
chr2L	463755	465773	-0.061057	-0.095422	-0.064226
chr2L	465790	467676	-0.450820	-0.898134	-0.415270
chr2L	467704	470163	-0.050508	-0.111188	-0.051114
chr2L	470546	473033	-0.177719	-0.149588	-0.100310
chr2L	473293	475873	-0.596789	-0.738204	-0.406298
chr2L	475899	478082	-0.164936	-0.147314	-0.097011
chr2L	478085	481048	0.024492	0.075238	0.017106
chr2L	481087	482850	-0.216450	-0.524431	-0.284033
chr2L	482856	483515	0.168251	0.227744	0.147108
chr2L	483598	485234	0.074141	0.050349	0.043478
chr2L	485254	486776	0.178376	0.346265	0.210209
chr2L	486803	487356	-0.310312	-0.854134	-0.249823
chr2L	487438	488724	-0.231921	-0.398920	-0.238020
chr2L	488771	489877	0.085141	0.108103	0.066113
chr2L	489992	490602	-0.193558	-0.726687	-0.125333
chr2L	490653	491569	-0.157681	-0.133952	-0.054276
chr2L	491714	492977	0.094317	0.169202	0.078966
chr2L	493004	493949	0.286546	0.469438	0.325126
chr2L	493950	494923	0.198800	0.521359	0.216413
chr2L	495012	496340	0.141238	0.094412	0.071082
chr2L	496374	497737	0.311376	0.573274	0.401287
chr2L	497840	498822	-0.077163	-0.101268	-0.056042
chr2L	498824	499919	-0.178171	-0.196604	-0.145319
chr2L	499921	501530	0.176483	0.177977	0.119680
chr2L	501836	502965	-0.154437	-0.484115	-0.176673
chr2L	502999	504127	0.042647	0.056421	0.041592
chr2L	504142	505829	0.261222	0.202309	0.177874
chr2L	505833	507284	0.358770	0.273494	0.189737
chr2L	507360	508695	0.138828	0.205465	0.132174
chr2L	508702	509731	0.033925	0.054817	0.024650
chr2L	509768	510501	-0.129269	-0.164591	-0.101036
chr2L	510509	511374	0.286492	0.327974	0.156409
chr2L	511408	512274	-0.110051	-0.218788	-0.098965
chr2L	512280	513006	0.129834	0.203082	0.085357
chr2L	513010	514800	-0.102025	-0.136472	-0.080123
chr2L	514802	516082	-0.125210	-0.184800	-0.108885
chr2L	516283	517520	0.171433	0.244552	0.193968
chr2L	517588	518316	0.192666	0.346655	0.240323
chr2L	518419	519005	0.115360	0.106168	0.090521
chr2L	519018	520339	0.203112	0.252603	0.175336
chr2L	520389	521762	0.006630	0.005489	0.004336
chr2L	521781	523610	-0.259592	-0.229997	-0.142058
chr2L	523758	524795	0.094875	0.140031	0.074303
chr2L	524954	526566	0.328470	0.239160	0.190235
chr2L	526662	527197	-0.049454	-0.070160	-0.054933
chr2L	527245	529159	-0.084378	-0.133658	-0.069234
chr2L	529165	529924	0.544329	0.382787	0.301968
chr2L	529926	530433	0.128503	0.170085	0.066628
chr2L	530481	531641	0.129751	0.170516	0.132305
chr2L	531646	532620	0.109584	0.172358	0.102175
chr2L	532668	534172	-0.113751	-0.177173	-0.077835
chr2L	534186	535235	-0.385318	-1.605993	-0.477366
chr2L	535259	536744	-0.074414	-0.107098	-0.040312
chr2L	536894	537986	0.141413	0.244162	0.150872
chr2L	538238	539304	0.351190	0.608432	0.363847
chr2L	539315	540097	0.048426	0.183682	0.035028
chr2L	540119	540998	-0.155330	-0.427296	-0.245598
chr2L	541025	542272	-0.089224	-0.206685	-0.144836
chr2L	542371	543661	0.340401	0.470564	0.288638
chr2L	543718	545022	0.084527	0.128959	0.085553
chr2L	545147	545986	-0.059534	-0.084341	-0.061975
chr2L	546001	546734	-0.160680	-1.358652	-0.164499
chr2L	546761	547449	-0.069715	-0.218127	-0.094379
chr2L	547540	548619	0.149356	0.188911	0.145548
chr2L	548655	549096	-0.276861	-0.422578	-0.264909
chr2L	549098	549852	0.059237	0.141009	0.075602
chr2L	549864	550739	-0.341603	-0.727645	-0.397177
chr2L	550755	551639	-0.403712	-0.492731	-0.306002
chr2L	551672	552661	-0.205673	-0.205195	-0.154420
chr2L	552681	553723	-0.135721	-0.171691	-0.132791
chr2L	553726	554252	-0.028839	-0.038279	-0.023059
chr2L	554277	555387	-0.282825	-0.354212	-0.218874
chr2L	555414	556365	-0.023871	-0.029991	-0.019771
chr2L	556466	557067	-0.070479	-0.122356	-0.079422
chr2L	557118	558080	0.137867	0.238688	0.166221
chr2L	558113	558862	0.081583	0.105930	0.080114
chr2L	558863	559396	-0.000275	-0.000470	-0.000237
chr2L	559410	560058	-0.187715	-0.646015	-0.257787
chr2L	560065	560977	-0.257383	-0.627182	-0.307618
chr2L	560980	561269	-0.112373	-0.141115	-0.095765
chr2L	561337	561679	-0.037112	-0.031933	-0.025006
chr2L	561704	562424	-0.140868	-0.330822	-0.193708
chr2L	562444	563223	-0.106459	-0.224399	-0.120524
chr2L	563384	564696	-0.167782	-0.117509	-0.093056
chr2L	564704	566388	-0.213256	-0.271265	-0.169059
chr2L	566472	567486	-0.244926	-0.297945	-0.156387
chr2L	567519	568195	-0.060524	-0.072719	-0.049199
chr2L	568237	569560	0.170238	0.119115	0.075376
chr2L	569632	570526	0.132860	0.286060	0.088773
chr2L	570568	571888	0.342838	0.367013	0.176873
chr2L	572131	572807	0.453090	0.487775	0.282030
chr2L	572827	574260	-0.519324	-10.670932	-0.438658
chr2L	574348	575477	-0.417867	2.948209	-0.414237
chr2L	575479	576204	0.018225	0.051549	0.014365
chr2L	576368	577966	-0.206150	-0.331042	-0.192321
chr2L	577967	578641	-0.203917	-0.551616	-0.147901
chr2L	578692	579640	0.061046	0.078672	0.037520
chr2L	579822	580552	0.237721	0.232501	0.146260
chr2L	580562	581544	-0.058928	-0.143654	-0.059283
chr2L	581570	582910	0.001354	0.001872	0.001053
chr2L	582911	583466	-0.121048	-0.190871	-0.107898
chr2L	583493	584312	0.044596	0.076317	0.041563
chr2L	584318	584973	0.188562	0.280714	0.178062
chr2L	584974	585937	-0.497055	-0.952215	-0.375863
chr2L	586009	587283	-0.039195	-0.054680	-0.041929
chr2L	587302	588606	-0.320690	1.050972	-0.223804
chr2L	588632	589496	0.201707	0.353915	0.222148
chr2L	589533	590544	0.349827	0.526669	0.467699
chr2L	590701	592353	-0.272726	-2.297424	-0.301153
chr2L	592386	593742	-0.497434	-2.300329	-0.596562
chr2L	593783	594928	0.009777	0.022573	0.013138
chr2L	595010	596318	-0.200516	-38.170235	-0.126448
chr2L	596446	598441	0.152953	0.248361	0.141717
chr2L	598503	599528	0.177438	0.245101	0.110182
chr2L	599612	600755	0.355693	0.433454	0.277520
chr2L	601080	602167	0.355958	0.420866	0.241962
chr2L	602214	602609	0.689430	0.827825	0.538400
chr2L	602615	603050	0.473680	0.732834	0.339330
chr2L	603059	603630	0.005313	0.062543	0.003701
chr2L	603662	604683	0.381080	0.508978	0.220562
chr2L	604740	605854	0.030632	0.057974	0.023843
chr2L	605912	608113	0.060735	0.131035	0.040509
chr2L	608206	609973	-0.535442	-1.035427	-0.443087
chr2L	609998	611199	0.002492	0.001843	0.001326
chr2L	611204	612026	0.071342	0.058780	0.044734
chr2L	612059	613014	-0.024693	-0.032647	-0.024601
chr2L	613015	613733	-0.167089	-0.408060	-0.209745
chr2L	613786	614579	0.080051	0.104874	0.074002
chr2L	615009	615853	-0.152168	-0.340692	-0.098735
chr2L	615855	616644	0.085484	0.111192	0.081486
chr2L	616704	617591	0.501269	0.496493	0.371985
chr2L	617592	618996	0.375308	0.511009	0.443871
chr2L	619003	620076	0.170288	0.454414	0.226358
chr2L	620132	620686	-0.201366	-3.579331	-0.322570
chr2L	620697	621206	-0.070450	-0.291498	-0.079490
chr2L	621220	622015	0.404683	0.657842	0.249883
chr2L	622028	623029	-0.462042	1.658220	-0.403889
chr2L	623033	623885	-0.122464	-0.516299	-0.109497
chr2L	623933	624763	0.391540	0.407827	0.347287
chr2L	624775	626373	0.241979	0.388544	0.200828
chr2L	626550	627351	-0.444771	10.126686	-0.356994
chr2L	627388	627748	-0.130765	-0.847437	-0.178424
chr2L	627840	629049	0.020804	0.028161	0.012295
chr2L	629060	630342	0.300280	0.325230	0.171881
chr2L	630347	631921	-0.045366	-0.141149	-0.083602
chr2L	631951	632854	0.003904	0.012243	0.008101
chr2L	632868	634200	-0.274893	-0.928104	-0.332480
chr2L	634207	634589	-0.423112	-11.914860	-0.473301
chr2L	634595	635841	-0.015925	-0.068523	-0.015678
chr2L	636071	637069	-0.139430	-0.307275	-0.082807
chr2L	637073	637986	-0.057578	-0.120156	-0.061141
chr2L	637988	638963	0.055503	0.242293	0.081289
chr2L	638974	639840	-0.288641	-1.014477	-0.155430
